,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type=pub,1,food=English,1,area=riverside,1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Blue Spice is an English pub near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range=high,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a fast food restaurant in the riverside area near Raja Indian Cuisine. It has a high price range and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type='coffee shop',1,rating=average,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range=high,1,rating=average,1,area=riverside,1,family_friendly=yes,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It has a high price range with an average customer rating. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=restaurant,1,food=English,1,price_range='more than £30',1,rating=high,1,area='city centre',1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
"The Mill is an English restaurant near Café Rouge in the city centre. It is not family-friendly, has a high customer rating, and costs more than £30.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating=average,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=high,1,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
"The Phoenix is a French pub near Crowne Plaza Hotel in the city centre. It has a high price range, is not family-friendly, and has a customer rating of 3 out of 5.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=French,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a moderately priced family friendly French pub near Raja Indian Cuisine in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Italian,1,price_range=moderate,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a moderately priced family friendly Italian pub in the city centre near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One. It has a customer rating of 1 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range=moderate,1,rating='1 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,0,0,0,0,0,
The Wrestlers is a moderately priced Japanese pub in the city centre near Raja Indian Cuisine. It is family friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=high,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
"The Mill is a fast food pub near Café Sicilia in the riverside area. It has a high price range, is not family-friendly, and has an average customer rating.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food=English,1,price_range='less than £20',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is a family friendly English pub in the city centre near Raja Indian Cuisine. It costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a moderately priced Chinese restaurant in the city centre near Raja Indian Cuisine. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Zizzi,1,eat_type=pub,1,rating=average,1,near='Burger King',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Zizzi is a pub near Burger King with an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=pub,1,food=Chinese,1,price_range=moderate,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a moderately priced Chinese pub in the city centre near Raja Indian Cuisine. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=high,1,rating='1 out of 5',1,area=riverside,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
"The Mill is a fast food pub near Café Sicilia in the riverside area. It has a high price range, is not family-friendly, and has a customer rating of 1 out of 5.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=restaurant,1,food=Japanese,1,price_range=£20-25,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a family friendly Japanese restaurant in the riverside area near Raja Indian Cuisine with a price range of £20-25.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range='less than £20',1,rating=average,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a family friendly Japanese pub near Raja Indian Cuisine in the city centre. It has an average customer rating and costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=restaurant,1,food=French,1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a French restaurant near Raja Indian Cuisine in the riverside area. It costs less than £20 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=restaurant,1,food=Italian,1,price_range='less than £20',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a family friendly Italian restaurant in the city centre near Raja Indian Cuisine. It costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=moderate,1,rating='1 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a moderately priced fast food pub in the city centre near Café Sicilia. It is family friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=restaurant,1,food=Japanese,1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a Japanese restaurant near Raja Indian Cuisine in the riverside area. It costs less than £20 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range='less than £20',1,rating=low,1,area=riverside,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a family friendly fast food pub near Café Sicilia in the riverside area. It has a low customer rating and costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=French,1,price_range='more than £30',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Vaults is a French pub near Raja Indian Cuisine in the city centre. It costs more than £30 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating='5 out of 5',1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a restaurant near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food=French,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a French restaurant near Raja Indian Cuisine in the city centre. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating='5 out of 5',1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a cheap fast food pub near Café Sicilia in the city centre. It has a customer rating of 5 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range='less than £20',1,rating=low,1,area='city centre',1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a family friendly Italian pub near Rainbow Vegetarian Café in the city centre. It has a low customer rating and costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=£20-25,1,rating=high,1,area='city centre',1,family_friendly=no,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
"The Cricketers is an English restaurant near All Bar One in the city centre. It has a high customer rating, is not family-friendly, and has a price range of £20-25.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Green Man',1,eat_type='coffee shop',1,rating='3 out of 5',1,near='All Bar One',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Green Man is a coffee shop near All Bar One with a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='less than £20',1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a family friendly Japanese pub in the city centre near Raja Indian Cuisine. It costs less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=yes,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is a family friendly Indian restaurant in the city centre near Express by Holiday Inn with a high price range and an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type=pub,1,food=Chinese,1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Blue Spice is a Chinese pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=restaurant,1,food=Japanese,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a moderately priced family friendly Japanese restaurant near Raja Indian Cuisine in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type=pub,1,food=Italian,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Wildwood is an Italian pub near Raja Indian Cuisine in the city centre. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
"The Punter is an Indian restaurant in the city centre near Express by Holiday Inn. It has a high price range, is not family-friendly, and has an average customer rating.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='more than £30',1,rating=low,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,0,0,0,0,0,
"The Wrestlers is a Japanese pub near Raja Indian Cuisine in the riverside area. It is family friendly, has a low customer rating, and costs more than £30.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type='coffee shop',1,rating=average,1,near='Crowne Plaza Hotel',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Blue Spice is a coffee shop near Crowne Plaza Hotel. It has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range='more than £30',1,rating=high,1,area='city centre',1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a family friendly fast food pub near Café Sicilia in the city centre. It has a high customer rating and costs more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=£20-25,1,rating=high,1,area='city centre',1,family_friendly=yes,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a family friendly English restaurant in the city centre near All Bar One with a price range of £20-25 and a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=pub,1,food=Italian,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
"The Punter is an Italian pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly, has a high price range and an average customer rating.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Punter is a cheap family friendly Italian restaurant in the riverside area near Rainbow Vegetarian Café with an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food=Indian,1,price_range=£20-25,1,rating=high,1,area='city centre',1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a family friendly Indian restaurant in the city centre near Crowne Plaza Hotel with a price range of £20-25 and a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='Blue Spice',1,eat_type=pub,1,food=Chinese,1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Blue Spice is a family friendly Chinese pub in the riverside area near Rainbow Vegetarian Café.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=pub,1,food=French,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a French pub near Raja Indian Cuisine in the city centre. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type='coffee shop',1,rating=low,1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=cheap,1,rating='5 out of 5',1,area='city centre',1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is a cheap Italian restaurant near Express by Holiday Inn in the city centre. It has a customer rating of 5 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range='less than £20',1,rating=low,1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
