,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
name='The Mill',1,eat_type=restaurant,1,food=English,1,price_range=moderate,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is a moderately priced English restaurant in riverside near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,2,food=Indian,1,price_range=high,1,rating='1 out of 5',1,area=riverside,1,family_friendly=yes,2,near='Express by Holiday Inn',1,added,,disfluency,,2,1,0,0,0,
The Punter provides Indian food in the high price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type=restaurant,1,food=Italian,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Wildwood is a family-friendly Italian restaurant in the city centre near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='less than £20',2,rating=average,1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the riverside area. It has an average customer rating and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=restaurant,1,food=Italian,1,price_range=high,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a high priced Italian restaurant in the city centre near Raja Indian Cuisine. It is not child friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Zizzi,1,eat_type='coffee shop',1,area=riverside,1,added,3,disfluency,,,,,,,,,,,,0,0,1,0,0,
Zizzi is a coffee shop in the riverside area. It has a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range='less than £20',2,rating=average,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,1,1,0,0,0,
The Vaults is a Japanese pub located near Raja Indian Cuisine in the riverside area. It has an average customer rating and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=high,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a high priced Indian pub in the riverside area near Raja Indian Cuisine. It is children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=French,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
"The Vaults is a moderately priced, kid-friendly, French pub near Raja Indian Cuisine in the riverside area.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food='Fast food',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating='5 out of 5',1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a family friendly restaurant located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=£20-25,2,rating=high,1,area=riverside,1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,1,1,0,0,0,
The Vaults is a Japanese pub located near Rainbow Vegetarian Café in the riverside area. It has a high customer rating and is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=high,1,rating='1 out of 5',1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Punter is a child friendly Italian restaurant in the riverside area near Rainbow Vegetarian Café. It has a high price range and a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Italian,1,price_range='less than £20',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a family friendly pub that serves Italian food for less than £20. It is located near Raja Indian Cuisine in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a cheap English restaurant with an average customer rating. It is located in riverside near Café Rouge and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=cheap,2,rating='5 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Café Rouge',1,added,,disfluency,,1,1,0,0,0,
The Cricketers is a family-friendly restaurant located in the city centre near Café Rouge. It serves English food and has a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range=moderate,2,rating='3 out of 5',2,area=riverside,2,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,3,1,0,0,0,
The Phoenix is a family friendly pub that serves fast food. It is located near Café Sicilia.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=£20-25,1,rating=high,1,area=riverside,1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is a highly rated Italian restaurant in the riverside area near Express by Holiday Inn. It is not kid friendly and has a price range of £20-25.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=English,1,price_range=high,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a children friendly English restaurant in the city centre near Raja Indian Cuisine. It has a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=£20-25,2,rating=high,1,area=riverside,1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,1,1,0,0,0,
The Mill is a fast food pub located near Café Rouge in the riverside area. It has a high customer rating and is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Italian,1,price_range=£20-25,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is a kid friendly Italian pub in the riverside area near Raja Indian Cuisine. It has a price range of £20-25.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=restaurant,1,food=Japanese,1,price_range=cheap,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a cheap Japanese restaurant in the riverside area near Raja Indian Cuisine. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating='5 out of 5',1,area=riverside,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
"The Mill is a cheap, family-friendly, fast food pub with a customer rating of 5 out of 5. It is located near Café Sicilia in the riverside area.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Strada,1,eat_type=pub,1,rating='1 out of 5',1,near='All Bar One',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Strada is a pub near All Bar One with a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Plough',1,eat_type=restaurant,2,food=Chinese,1,price_range=high,1,area='city centre',1,family_friendly=no,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,2,1,0,0,0,
The Plough provides Chinese food in the high price range. It is located in the city centre. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=restaurant,1,food=English,1,price_range='less than £20',1,rating=low,1,area='city centre',1,family_friendly=yes,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Mill is a family-friendly restaurant that serves English food for less than £20. It is located in the city centre near Café Rouge and has a low customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Italian,1,price_range=high,2,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,1,1,0,0,0,
The Punter is an Italian restaurant located in the city centre near Rainbow Vegetarian Café. It is not child friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Cocum,1,eat_type='coffee shop',1,rating=high,1,near='Burger King',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Cocum is a coffee shop near Burger King with a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=£20-25,2,rating=high,1,area='city centre',1,family_friendly=yes,1,near='Rainbow Vegetarian Café',,added,,disfluency,,1,1,0,0,0,
The Vaults is a Japanese pub located near Rainbow Vegetarian Café in the city centre. It is kid friendly and has a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=pub,1,food=English,1,price_range=high,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a high priced English pub in the riverside area near Raja Indian Cuisine. It is child friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating=average,1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is not family-friendly and has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=high,1,rating=average,2,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,1,1,0,0,0,
The Mill is a fast food pub located near Café Sicilia in the city centre. It is not children friendly and has a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=yes,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a family friendly restaurant that serves English food. It is located near Café Rouge in the riverside area. It has an average customer rating and is cheap.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=restaurant,1,food=Italian,1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a cheap Italian restaurant located near Raja Indian Cuisine in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,2,food=Indian,1,price_range=high,1,rating=average,1,area='city centre',1,family_friendly=yes,1,near='Express by Holiday Inn',1,added,,disfluency,,1,1,0,0,0,
The Punter provides Indian food in the high price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is average.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range=moderate,1,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a moderately priced Italian pub in the city centre near Rainbow Vegetarian Café. It is not kid friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Strada,1,eat_type=pub,1,rating='1 out of 5',1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,2,price_range='less than £20',1,rating=low,2,area=riverside,2,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,3,1,0,0,0,
"The Phoenix is a low-priced, family-friendly pub located near Crowne Plaza Hotel.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='more than £30',2,rating='5 out of 5',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,1,1,0,0,0,
The Wrestlers is a Japanese pub located near Raja Indian Cuisine in the city centre. It has a customer rating of 5 out of 5 and is not child friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=£20-25,1,rating=high,1,area='city centre',1,family_friendly=no,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the £20-25 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type='coffee shop',1,area=riverside,1,added,3,disfluency,,,,,,,,,,,,0,0,1,0,0,
Wildwood is a coffee shop in the riverside area. It has a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,rating='3 out of 5',1,family_friendly=yes,1,near=Avalon,1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a children friendly restaurant near Avalon. It has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food=French,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a French restaurant located near Raja Indian Cuisine in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Italian,1,price_range=moderate,1,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,0,0,0,0,0,
The Vaults is a moderately priced Italian pub in the city centre near Rainbow Vegetarian Café. It is not kid friendly and has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=cheap,1,rating=average,1,area=riverside,1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,0,0,0,0,0,
The Mill is a cheap fast food pub in the riverside area near Café Sicilia. It is not family-friendly and has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type='coffee shop',1,rating=average,1,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,,,,,,,0,0,0,0,0,
The Cricketers is a family friendly coffee shop near Café Sicilia. It has an average customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=high,1,rating=average,1,area=riverside,1,family_friendly=no,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a cheap fast food restaurant near Raja Indian Cuisine in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=high,2,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,1,1,0,0,0,
The Mill is a fast food pub near Café Sicilia in the city centre. It is not child friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=moderate,1,area='city centre',1,family_friendly=no,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,1,1,0,0,0,
The Waterman is a pub that provides Indian food in the moderate price range. It is located in the city centre. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range=moderate,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a moderately priced Japanese pub in the city centre near Raja Indian Cuisine. It is not kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range=high,1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a fast food restaurant near Raja Indian Cuisine in the city centre. It is not child friendly and has a high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Japanese,1,price_range=high,2,rating='3 out of 5',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,1,1,0,0,0,
The Vaults is a Japanese pub located near Raja Indian Cuisine in the city centre. It is not child friendly and has a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
"The Punter is a cheap, family friendly restaurant that serves English food. It is located in the riverside area near Raja Indian Cuisine.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=moderate,2,rating='1 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the city centre. It is kid friendly and has a customer rating of 1 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Wrestlers',1,eat_type=pub,1,food=Japanese,1,price_range='more than £30',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Wrestlers is a Japanese pub near Raja Indian Cuisine in the riverside area. It is not child friendly and has a price range of more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,2,food=Chinese,1,price_range=cheap,1,rating='5 out of 5',1,area=riverside,1,family_friendly=yes,2,near='All Bar One',1,added,,disfluency,,2,1,0,0,0,
The Cricketers provides Chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='more than £30',2,rating='5 out of 5',1,area=riverside,1,family_friendly=no,1,near='Crowne Plaza Hotel',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a French pub located near Crowne Plaza Hotel in the riverside area. It has a customer rating of 5 out of 5 and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=restaurant,1,food=English,1,price_range=moderate,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
